Training ProxyNCA | model: resnet50
epoch, loss
1, 4.9662
2, 3.0860
3, 2.8467
4, 2.6917
5, 2.6222
6, 2.5085
7, 2.4356
8, 2.4230
9, 2.2661
10, 2.2717
11, 2.2253
12, 2.1604
13, 2.0996
14, 2.0908
15, 2.1064
16, 2.0130
17, 2.0048
18, 1.9551
19, 1.9477
20, 1.8916
21, 1.8687
22, 1.8755
23, 1.8669
24, 1.8238
25, 1.8052
26, 1.8158
27, 1.7639
28, 1.7900
29, 1.7313
30, 1.6962
31, 1.7509
32, 1.6747
33, 1.6932
34, 1.6548
35, 1.6817
36, 1.6697
37, 1.6205
38, 1.6377
39, 1.6090
40, 1.6061
41, 1.6200
42, 1.5697
43, 1.5904
44, 1.5840
45, 1.5739
46, 1.5919
47, 1.5441
48, 1.5413
49, 1.5321
50, 1.5366
