Training ProxyNCA | model: resnet18
epoch, loss
1, 6.4426
2, 4.2116
3, 4.0560
4, 3.9626
5, 3.9013
6, 3.8093
7, 3.8017
8, 3.7409
9, 3.7010
10, 3.6799
11, 3.6217
12, 3.6499
13, 3.5896
14, 3.5746
15, 3.5366
16, 3.5187
17, 3.5125
18, 3.4921
19, 3.4674
20, 3.4857
21, 3.4406
22, 3.4606
23, 3.4043
24, 3.4363
25, 3.4258
26, 3.3949
27, 3.3710
28, 3.3875
29, 3.3624
30, 3.3729
31, 3.3585
32, 3.3232
33, 3.3433
34, 3.3128
35, 3.2908
36, 3.3107
37, 3.2880
38, 3.3283
39, 3.2754
40, 3.2813
41, 3.2991
42, 3.2895
43, 3.2729
44, 3.2530
45, 3.2442
46, 3.2554
47, 3.2314
48, 3.2371
49, 3.2120
50, 3.2392
