Training ProxyNCA | model: resnet50
epoch, loss
1, 4.4649
2, 2.2102
3, 1.8897
4, 1.6977
5, 1.6302
6, 1.5007
7, 1.4288
8, 1.4150
9, 1.3731
10, 1.3207
11, 1.2948
12, 1.3151
13, 1.2598
14, 1.2592
15, 1.2304
16, 1.2312
17, 1.2228
18, 1.2213
19, 1.2165
20, 1.1845
21, 1.2109
22, 1.1944
23, 1.2110
24, 1.2064
25, 1.1793
26, 1.1935
27, 1.1853
28, 1.1822
29, 1.2022
30, 1.1788
31, 1.1723
32, 1.1651
33, 1.1663
34, 1.1682
35, 1.1647
36, 1.1660
37, 1.1540
38, 1.1749
39, 1.1738
40, 1.1656
41, 1.1612
42, 1.1573
43, 1.1334
44, 1.1507
45, 1.1568
46, 1.1640
47, 1.1482
48, 1.1664
49, 1.1470
50, 1.1333
